rightword,entity
price,price_inr_double
fit,brickfittype_en_string_mv
fitting,brickfittype_en_string_mv
material,brickMaterial_en_string_mv
materials,brickMaterial_en_string_mv
sleeve,bricksleeve_en_string_mv
sleeves,bricksleeve_en_string_mv
pattern,brickpattern_en_string_mv
brand,brand_string_mv
collar,brickcollar_en_string_mv
weave,bricktraditionalweave_en_string_mv
prices,price_inr_double
cost,price_inr_double
rate,price_inr_double
rates,price_inr_double
off,exactdiscount_int
costly,price_inr_double
costs,price_inr_double
discounts,exactdiscount_int
discount,exactdiscount_int
metre,bricklength_en_string_mv
yr,bricksize_en_string_mv
yrs,bricksize_en_string_mv
ages,toysverticalagegroup_en_string_mv
aged,toysverticalagegroup_en_string_mv
centimeter,bricklength_en_string_mv
colors,verticalcolorfamily_en_string_mv
color,verticalcolorfamily_en_string_mv
old,bricksize_en_string_mv
centimeters,bricksize_en_string_mv
age,size_en_string
centimetres,bricksize_en_string_mv
breadth,bricksize_en_string_mv
centimetre,bricksize_en_string_mv
g,brickMaterialFeature_en_string_mv
years,bricksize_en_string_mv
year,bricksize_en_string_mv
gram,brickMaterialFeature_en_string_mv
colours,verticalcolorfamily_en_string_mv
gm,brickMaterialFeature_en_string_mv
cm,bricksize_en_string_mv
meters,bricksize_en_string_mv
grams,brickMaterialFeature_en_string_mv
inches,brickheelheight_en_string_mv
colour,verticalcolorfamily_en_string_mv
width,bricklength_en_string_mv
metres,bricksize_en_string_mv
amount,price_inr_double
rupee,price_inr_double
rupees,price_inr_double
paisa,price_inr_double
paise,price_inr_double
rs,price_inr_double
size,size_en_string
inch,size_en_string
m,size_en_string
month,size_en_string
sizes,size_en_string
gms,brickMaterialFeature_en_string_mv
meter,bricksize_en_string_mv
waist,size_en_string
rise,brickwaistrise_en_string_mv
neckline,brickneckline_en_string_mv
neck,brickneckline_en_string_mv
design,brickdesign_en_string_mv
months,size_en_string
cms,bricksize_en_string_mv
height,brickheelheight_en_string_mv
length,bricklength_en_string_mv