Word,Hinglish Translation
trackpants,traik paint
stoles,stolais
mehendi,mehandee
burnt,jala hua
olivce,jaitoon
glass,kaanch
polishes,polish
tencel,tainchail
sultan,sulataan
flamingo,maraal
blazers,blezar
raven,kaala kaua
alpine,alpain
confetti,kamfeddee
pieces,tukade
mangoyellow,mangoyaillow
gemstones,ratn
shaper,shepar
sports,khel
medium,madhyam
all,sab
primrose,halake peele rang ka
magnata,taikoon
geo,bhoo
snow,himapaat
nightwear,raat
notebook,smaran pustak
nailhead,naakhoon sir
nosepins,nosaipins
up,yoopee
nautical,samudree
purses,pars
optic,optik
ramagreen,ramagraiain
nantucket,nantuchkait
camisole,angiya
sweater,svetar
mint,jaisa
espresso,vyakt
coasters,kostar
chartreuse,shaatrez
chocolatebrown,chokaletee bhoora
vermillion,vairmillion
rustic,dehaatee
gyellow,peela
blended,mishrit
wayfarer,pathik
chinese,cheenee
prep,prastut karane ka
chilli,chillee
algae,shaivaal
blacka,blachk
bronw,peetal
directoire,nirdeshika
stylised,shaileekrt
tangail,taingail
care,kaun kaun se
malibu,maalibu
laptop,laipatop
nero,kaalee
new,naya
sapphire,neelam
mulricoloured,saarang
slipcovers,slipchovairs
choco,choko
tiered,tiairaid
kurtas,kurta
churidars,churidarsh
rblue,rbluai
scraped,skrep kee gaee
almond,baadaam
bean,sem
fuschsia,phyooshiya
tannin,taneen
poplin,paanpaleen kapada
partially,aanshik roop se
religious,dhaarmik
TRUE,sach
ruby,maanik
musturd,sarason
muiticoloured,saarang
bathroom,baatharoom
beauty,sundarata
lurex,luraix
semi,arddh
abstract,saar
loose,dheela
charcol,chharchol
rise,vrddhi
school,skool
back,vaapas
phone,fon
gry,khel
flare,chamak
raincoats,renakot
mushroom,masharoom
begie,baigiai
silvertoned,silvairtonaid
tobacco,tambaakoo
colour,rang
fold,tah
pillow,takiya
culottes,jaanghiya
rust,jang
reds,laal
natural,praakrtik
blushpink,gulaabee rang ka
seaweed,samudree sivaar
eclipse,grahan
sweet,mithaee
tones,tan
blazer,rangeen jaaket
militery,sainy
chanderi,chanderee
fourth,chautha
crystals,kristal
laptops,laipatop
tonned,tonnaid
sneakers,sneekars
briefs,kachchha
scarlet,laal
smoked,smokd
dk,minat
fit,phit
minaudiere,minaudiairai
brazillian,braazeeliyaee
pyjama,paajaama
duffel,duffail
lipstick,lipastik
ucla,yooseeele
multicolour,bahuranga
multicoloureed,saarang
electric,bijalee
dyed,saarang
splatter,chheente
cloud,baadal
jewellery,aabhooshan
mousse,jhaag
yelllow,yailllow
bllack,kaalee
ashy,asahay
sulphur,gandhak
extra,atirikt
lacquer,laah
oiive,jaitoon
met,saath mein
moore,moor
muti,myootee
british,angrejon
serenity,shaanti
nay,ab se
calf,gaay ka bachcha
moccasins,mokaasin
trekking,traiking
patent,petent
handloom,hathakaragha
men,parantu
servant,naukar
of,ka
gels,jail
lichen,kaee
cushions,kushan
blaack,blaachk
jamevar,jamavaar
slides,slaid
gray,dhoosar
copper,taamba
whie,saphed
platinum,plaitinam
purples,bainganee
necklaces,haar
aloha,aloh
beoge,bej
cup,kap
holder,dhaarak
iron,loha
teaberry,taiabairry
blak,kaalee
lightgrey,halka bhoora rang
butter,makkhan
spice,chaat masaala
mullticoloured,saarang
pillows,takie
creams,kreem
velour,vailor
around,chaaron or
placemats,mait
whte,saphed
sunshine,dhoop
blie,bliai
houses,makaanon
whtie,saphed
saint,sant
moon,chaand
spectra,spektra
bralettes,bralaittais
on,par
tie,guloband
gree,graiai
azure,neela
sartho,byaaj
burgendy,baragandee
beetle,bhrng
re,phir se
tools,upakaran
lea,ven
lycra,laikra
royal,raajasee
puzzle,pahelee
swimwear,svimaviyar
nugget,sone ka dala
multicolourd,saarang
princess,raajakumaaree
bedsheets,chaadare
iwhite,saphed
ramie,haath
short,kam
multi,bahu
stucco,plaastar
neavy,tum nahin
fawn,halake peele rang ka
parrot,tota
concrete,thos
melba,mailb
twilight,saanjh
runners,dhaavakon
thyme,ajavaayan ke phool
heather,heeth
mazarine,gahare neele rang ka
trackers,traikar
ring,angoothee
shift,khisak jaana
stackable,stachkablai
cufflinks,kafalink
air,vaayu
dreen,muftaqor
rosin,raal
melnge,milaavat
muiltcoloured,saarang
castor,rendee
fitness,phitanes
key,chaabhee
tribal,aadivaasee
me,mein
marine,samudree
olivegreen,jaitoon hara
greu,kathin
dak,daak
majanta,majainta
acetate,eseetet
pu,sakata hai
bow,dhanush
sage,saadhoo
marl,chikanee mittee
bottom,tal
fluorescent,phlorosent
victoria,viktoriya
ashley,eshale
atlantic,atalaantik
creambrown,chraiambrown
artisan,shilpakaar
bootcut,boot kat
icy,thanda
formula,sootr
tea,chaay
self,svayan
boots,joote
fischia,seetee
nayv,anubhavaheen
action,kaary
peel,chhaal
espadrilles,aispadrillais
canvas,kainavaas
geen,nahin
slippers,chappalen
accessories,saamaan
mblue,mbluai
turquoiseblue,samudree neela
musline,muslinai
bottomwear,bottomwaiar
rompers,rompairs
windcheaters,windchhaiatairs
blck,blchk
meblue,maibluai
castle,mahal
sde,sdai
nick,chhed
heritage,viraasat
ec,chunaav aayog
spruce,sajaana
indian,bhaarateey
anti,virodhee
sanitizers,sanitizairs
cleaning,saphaee
swimsuits,svimasoot
chacoal,kampan
product,utpaad
burgery,burgairy
tracksuits,trachksuits
pomergranate,anaar
nectar,amrt
cornflower,kornaflaavar
merlot,mairlot
bikinis,bikanee
work,kaam
camis,chamis
crocodile,magaramachchh
metal,dhaatu
ultra,atyant
teek,tikatik
mendhi,mehandee
sudan,soodaan
snapbacks,snapbachks
cargos,prabhaar
wrought,gadha
narrow,sankeern
long,lamba
pouch,thailee
satin,saatan
loafers,lofars
circular,paripatr
strap,patta
jeggings,jaiggings
bottle,botal
ivory,haathee daant
balsam,baam
sienna,siena
cyan,siyaan
butterscotch,bataraskoch
muticolured,muticholuraid
blueda,bluaid
corset,cholee
bust,bast
printed,mudrit
rani,raanee
patriot,desh-bhakt
desert,registaan
turuoise,firoza
bubble,bulabula
signal,sanket
large,vishaal
estate,jaayadaad
emerald,panna
club,klab
shield,dhaal
hoops,hups
nightshirt,neeche pahanane kee raat kee qameez
muticoloured,muticholouraid
cashmere,kashmeeree
peacoat,paiachoat
shirt,kameej
sulphate,salphet
kempu,shivir
wristbands,ristabaind
plain,maidaan
crimson,gahara laal
sky,aakaash
ecru,kapade ka asalee rang
cutlery,katalaree
this,yah
darkblue,gahara neela
toupe,toopaee
almondine,almondinai
day,din
bangle,bangale
athletic,pusht
sanitary,sainitaree
tummy,pet
satchels,satchhails
pvc,peeveesee
ghagra,ghaagara
cream,malaee
pomegranate,anaar
masks,maask
fuschia,fuschhi
force,bal
jungle,jangal
brugundy,baragandee
rayon,jila
timewear,timaiwaiar
ups,yoopeees
racks,raik
bermudas,baramooda
neon,neeyan
apricot,khubaanee
grye,bhuna hua
ream,bees jista kaagaj
fog,kohara
bl,beeel
boxer,boksar
numeric,sankhyaatmak
breated,braiataid
cuffs,kaph
cat,billee
art,kala
shaving,hajaamat banaane ka kaam
friar,tapasvee
mehandi,mehandee
kelly,kelee
formal,aupachaarik
boleros,bolero
mulitcolor,bahuranga
pristine,praacheen
juniper,junipar
persian,faarasee
babydoll,bebee dol
chunky,chankee
tanchoi,tanchhoi
oak,baloot
card,kaard
sout,saut
cantaloupe,kharabooja
peah,paiah
cappuccino,kaipuchino
gols,lakshy
crown,taaj
azur,neela
sterling,vaastavik
earings,aiarings
thin,patala
pullover,pul ovar
topwear,topwaiar
city,faridabad
beige,bej
asfalt,daamar
fusion,vilay
multicooured,saarang
jaquard,jachquard
tobned,tobnaid
grapefruit,chakotara
rock,chattaan
pea,sir
stud,tek
dkolive,dkolivai
mekange,maikangai
home,ghar
depths,gaharaee
tango,taingo
yellowx,yaillowx
watches,ghadiyon
blued,bluaid
charcoal,lakadee ka koyala
nuetral,tatasth
table,taalika
bule,videshee paryatak
royale,raajasee
se,mujhe pata hai
liquorice,leekoris
legion,sainy tukadee
hedge,bachaav
bugundy,aaj
front,saamane
arrow,teer
toy,khilauna
darkpink,gahare gulaabee
barely,mushkil se
seat,seet
chevrons,chhat
narrrow,sankeern
aleutian,eleutiyan
iris,aankh kee putalee
furniture,pharneechar
lead,netrtv
yell,yaill
sling,gophan
foldover,modana
sheer,nira
kurti,banaana
lemonade,neembu paanee
panties,jaanghiya
softness,mrduta
punk,gunda
messenger,doot
basic,buniyaadee
lavender,laivendar
firebrick,firaibrichk
rec,aareesee
olympian,olimpiyan
ballerina,baile nrtyakatree
laundry,dhobeeghar
reptile,saanp
aviator,havaabaaz
coral,moonga
melange,mishrit
cr,karod
combo,kombo
golden,svarn
sunflower,soorajamukhee
mutlicolor,bahuranga
dusky,kaala
see,dekh
tikkas,daart
studs,stad
mauve,chamakeela gulaabee rang
outdoor,ghar ke baahar
musical,sangeet
wne,sadee ee
glacier,himanad
frutti,phal
truffle,kavak
majenta,maijenta
wheat,gehoon
rainwear,barasaatee
equipment,upakaran
oilve,jaitoon
onyx,gomed
duck,battakh
wearables,pahanane yogy
rectangular,aayataakaar
rinse,kulla
travel,yaatra
mehroon,meharoon
watermelon,tarabooj
greens,saag
miscellaneous,vividh
wide,chauda
thigh,jaangh
capes,chapais
brown,bhoora
material,saamagree
clutches,changul
mutilcoloured,bahu rang ka
swan,hans
snorkel,snorkal
taffy,taafee
surf,lahar
char,chaar
winter,sardee
saucers,tashtaree
knives,chaakoo
frame,dhaancha
tote,dhona
garage,geraaj
ensign,prateek
hadfield,hadfiaild
depth,gaharaee
liners,lainars
stones,patthar
aroma,sugandh
deodorants,deeodarant
gunmetal,gunmaital
oatmeal,daliya
curtains,parde
cobblestone,patthar
multiccoloured,saarang
elfin,pari-sambandhee
fucshia,phyooshiya
checked,jaanch
radiance,chamak
ecred,aichraid
weather,mausam
navu,ham hain
ref,sandarbh
innerwear,inaraviyar
grayish,bhoora
midnight,aadhee raat
purlpe,bainganee
periwinkle,ek prakaar kee vanaspati
pencil,pensil
flex,phleks
black,kaalee
cobalight,chobalight
guard,rakshak
whitw,saphed
peack,paiachk
haute,uchch
atlantis,atalaantis
magneta,chumbak
duffle,dufflai
baroque,baarok
storm,aandhee
thermal,tharmal
chains,chen
jacket,jaiket
tawny,gahare peele ke rang ka
feeding,khila
smartphones,smaartaphons
cuff,kaf
colourblocked,cholourblochkaid
nulticoloured,saarang
palm,hathelee
grease,greez
bliss,paramaanand
chip,tukada
hoodies,hoodiais
carolina,kairolina
ashey,aata he
lilly,lilee
folds,silavaton
special,vishesh
suit,soot
piping,paipalain
ellow,aillow
sea,samudr
island,dveep
verdant,sabz
leafy,pattedaar
baguette,baguaittai
low,kam
polos,dande
off,band
books,pustaken
vehicles,vaahanon
oxford,oksaford
moonlinght,chaandanee
yellowmediu,yaillowmaidiu
macadamia,maikaadaamiya
darkgreen,gahara hara
singlets,singlaits
training,prashikshan
banded,dhaariyon
tissue,ootak
olive,jaitoon
wood,lakadee
gaming,jua
mufflers,maphalar
gond,dhyaan
bliue,netrtv
love,prem
yolk,jardee
barbados,baarabaados
suits,soot
mules,khachcharon
squares,vargon
stretch,khinchaav
bodies,shav
bombers,hamalaavaron
window,khidakee
track,dhaavan path
bronze,peetal
assorted,mishrit
honey,shahad
anthra,anthr
kakhi,haakee
muted,maun
gifts,upahaar
kl,par
ecnvy,aichnvy
voile,paal
tracks,patariyon
shrug,kandhe uchakaane kee kriya
hoop,aasha
toner,tonar
multicolored,saarang
none,koee nahin
beiige,baiiigai
glo,maanana
grenn,beej
darkindigo,darakindigon
gery,rode
meganta,maijenta
dancer,nartakee
flora,vanaspati
flax,san
holographic,holograaphik
lilac,bakain
cloudy,baadal
solver,solvair
preciousstones,keematee patthar
turquoise,firoza
paisley,paizale
banana,banaana
organisers,aayojakon
fragrances,sugandh
crux,jad
badminton,baidamintan
hipsters,hipastars
bum,boom
cricket,kriket
matte,mait
forget,bhool jao
washed,dhoya
pepper,mirch
aspen,aispan
beown,baiown
federal,sangheey
metalic,dhaatu ka
parisian,peris ka
garden,bageecha
cognac,kognek
anklets,paayal
clutch,klach
ocean,saagar
aubergine,baingan
flower,phool
ombre,saaya
birch,santee
vanilla,vaneela
teaal,taiaal
nehru,neharoo
wristlet,kangan
flop,phlop
ginger,adarak
wallets,pars
peachy,aadoo ka
coffy,kophee
ashes,raakh
wjite,saphed
babydolls,chhotee gudiya
messengers,doot
dungarees,dungaraiais
ice,barph
cocoa,koko
turtledove,kachhua kabootar
wmelange,wmailangai
fossil,jeevaashm
taffeta,tafata
shapewear,shapaiwaiar
catonic,chatonich
chalk,chaak
granite,grenait
strawberry,stroberee
other,any
ceramic,cheenee mittee
ht,hindustaan taims
multicloured,saarang
melon,kharabooj
tealblue,chaitee neela
lazer,manoranjan
abstarct,saar
jhumkas,jhumakas
winterwear,wintairwaiar
sweaters,svetar
redu,theek
loungewearsets,loungaiwaiar set
rpink,gulaabee
bluebell,ghantee
dream,sapana
linen,linan
mixture,mishran
basketball,baasketabaal
photo,tasveer
floral,pushp
cadet,kaidet
emarald,aimarald
terra,bhoomi
lightblue,halka neela
ed,eedee
fushcia,phyooshiya
dusty,matamaila
caviar,kaiviyaar
milange,milangai
dove,vah kahaan hai
dusk,godhooli bela
small,chhota
drops,drop
cheekinis,murgee
bright,ujjval
red,laal
baby,bachcha
boxers,mukkebaajon
gowns,gaun
nav,nahin hain
stationary,sthaavar
fresh,taaza
tout,sab
almost,lagabhag
face,chehara
jhumka,jhumaka
universal,saarvabhaumik
danglers,danglairs
tunics,angarakhe
frames,phrem
noir,kaalee
browm,bhoora
burgunday,baragandee
navyfe,navyfai
poly,paalee
capris,chaprichais
envelope,lifaafa
rhinestones,sphatik
kada,kab
mutticoloured,saarang
bloom,phool ka khilana
upper,ooparee
jars,jaar
mary,meree
boys,ladake
acorn,baloot ka phal
multicolours,multicholours
cerulean,aasamaanee
ivy,aaivee lata
pompeian,pompiyan
rosewood,sheesham
diffusers,diphyoozar
shantoon,pahaad ka toon
hipster,hipstar
collars,kolar
bangles,choodiyaan
square,varg
cotta,pakaaya
multicoloour,bahuranga
maagenta,maaganta
vm,veeem
geranium,gairanium
straight,seedhe
windbreakers,windbraiakairs
totes,sab
outerwear,oopar ka kapada
ltolive,ltolivai
dust,dhool
bedding,bistar
dlue,dluai
acqa,achq
show,pradarshan
glasses,chashma
mud,keechad
strom,bijalee
waffle,vafal
caliste,chalistai
camellia,kameelaya
space,antariksh
boxes,bakse
padded,gudaguda
platters,thaalee
side,paksh
garter,getis
loop,paash
breathable,saans
oyster,seep
darkbeige,darkbaiigai
washes,dhone
celery,ajavaayan
stationery,steshanaree
gladiators,glediyetars
nosepin,nosaipin
tourquiose,firoza
sliver,tootakar alag ho jaana
gum,gam
gun,bandook
rumba,roomba
egg,anda
mang,maang
playful,chanchal
woven,bunee
tutu,tootoo
pirate,samudree daakoo
chocolate,chokalet
has,hai
robes,kapade
multiicoloured,bahu rang ka
assroted,assrotaid
gillets,gilaits
deco,deko
blue,neela
kitchen,rasoee
pearly,motee ke rang ka
caps,topiyaan
bluet,bluait
sliders,slaidars
activity,gatividhi
jacquard,jachquard
cobalt,kobaalt
baltic,baaltik
army,sena
multiciloured,saarang
graphite,seesa
risk,jokhim
shell,khol
herb,jadee bootee
alaskan,alaaska
rugs,kaaleenon
whiet,saphed
saffron,kesar
mobile,mobail
plates,pleten
toned,tond
pistachio,pista
inner,bheetaree
hibiscus,hibiskus
multicouloured,multichoulouraid
teel,raaste mein
lyellow,peela
sodalite,sodalitai
sleeves,aasteen
multicololured,saarang
ghost,bhoot
hunter,shikaaree
platforms,pletaphaarmon
mattress,gadda
khaki,khaakee
tropical,ushnakatibandheey
mats,mait
collectibles,sangrahanata
florescent,phlorosent
blankets,kambal
melage,mishrit
cerise,cheree
whiter,whitair
doll,gudiya
treatments,upachaar
armlets,baajooband
slub,shaadee
genuine,vaastavik
tshirts,tee-sharts
dual,doharee
dress,poshaak
creram,maana jaata hai ki
grooming,sanvaarane
multioloured,saarang
henleys,hainlaiys
novelty,naveenata
rexine,raixinai
make,banaana
pitchers,ghada
spacegrey,aasamaanee bhoora
barley,jau
steam,bhaap
tarmac,daamar
beetroot,chukandar
multicolorured,saarang
brushed,brash
error,truti
tone,sur
oxidised,okseekrt
mehndi,mehandee
asssorted,mishrit
pistaa,pista
mulicoloured,bahu rang ka
wayfarers,wayfarairs
anarkali,anaarakalee
bands,baind
punch,panch
snake,saanp
brunette,shyaamala
butterfly,titalee
aquamarine,akvaamareen
gables,gaibals
blues,blooz
seashell,saagar kee kaudee
pique,kukm ke patte
prussian,prashiya
churidar,choodeedaar
tops,sabase oopar
maroon,laal rang
faded,pheeka
popsicle,popsichlai
harbor,bandaragaah
grass,ghaas
brand,braand
biege,jhukana
deep,gahara
trunks,chaddee
heeled,edee
decadent,avanati ka
nebulas,dhundh
lettuce,salaad
dutch,dach
marun,meree
rim,kinaara
muslin,malamal
vest,baniyaan
woody,vudee
been,gaya
mlticoloured,saarang
midnightgreen,midnightgraiain
skins,khaal
cashew,kashyu
celeste,halka neela
brpwn,prpon
nighti,nighati
lauren,loren
herringbone,herringabon
cartoon,kaartoon
burners,barnar
fourths,chauthaee
bottole,botal
aruba,arooba
perfumes,itr
rusty,zang khaaya hua
cashmrblu,chashmrblu
filigree,chaandee ke maheen
faint,behosh
dry,sookha
multicolorued,saarang
magnta,chumbak
makhani,makhanee
chemise,kameej
pre,ke liye
swings,jhoolon
shrugs,kahate hain
multicooloured,saarang
indigp,neel
turquise,firoza
pear,naashapaatee
legend,kinvadantee
eton,eetan
oliv,jaitoon
each,se pratyek
weave,bunana
buckets,baaltee
crochet,chrochhait
role,bhoomika
candy,kaindee
mustrad,paitarn
soft,mulaayam
mellon,melon
tq,vah
mallard,jangalee battakh
drk,darak
fusha,khet
string,taar
strands,kismen
purple,bainganee
lightpink,halka gulaabee
line,lain
russian,roosee
drak,ajagar
magntafusha,magntafush
single,ek
shiners,aaeena
wash,dhulaee
tunic,angarakha
muliticoloured,muliticholoraid
vintage,vintej
columbier,cholombiair
mirror,aaeena
bodycon,bodychon
maternity,maatrtv
laceups,pheeta baandhana
tights,taitas
cut,kat gaya
shadow,saaya
voilet,voilait
with,saath mein
candyfloss,kaindee ka phlos
base,aadhaar
heathe,haiathai
marble,sangamaramar
oange,oangai
chic,thaath
gole,lakshy
mahndigreen,mahandeegreen
stonewash,pathareelee dhulaee
purpose,uddeshy
orange,santara
flip,phlip
ink,syaahee
sun,ravi
apple,seb
lue,padhana
optical,optikal
clay,chikanee mittee
protectors,sanrakshak
airforce,eyaraphors
heavily,bhaaree
loungewear,loungaiwaiar
crepe,krep
borown,bhoora
laurel,lorel
crab,kekada
chestnut,shaahabaloot
purplr,bainganee
shackets,shachkaits
double,dohara
cups,kap
feminine,sangya
russet,laal sa
sweatshirts,swaiatshirts
blazing,prajvalan
muulticoloured,saarang
earthy,mittee kee
tiger,baagh
chrismass,krisamas
