phrasekey,phrase
room fresheners|room sprays|room spray,room spray
table lamp|table lamps,table lamp
hair color|hair colour,hair color
hand purse|hand purses,handbags
nose ring|nose rings,nosering
face mask|face masks,masks
hair clip|hair clips,hair clips
hair band|hair bands,hair bands
head band|head bands,headbands
lip balm|lip balms,lip balm
hand cream|hand creams,hand care
air max,air max
nail polish|nail polishes|nail paint|nail paints,nail polish
green tea,green tea
air jordan,air jordan