word,stopword,stopwordwrtphrases,distinctproducts
with,1,,474569
round,0,,222260
full,0,,216965
and,1,,158379
a,0,0,156636
t,0,0,129059
this,1,,112057
the,1,,99351
of,1,,90363
top,0,,70845
front,0,,69492
in,1,,67256
up,1,,59577
is,1,,56770
no,0,,51521
low,0,,50114
to,1,,45957
on,1,,42215
by,1,,39547
th,0,,38359
for,1,,36743
line,0,,33942
an,1,,33435
back,0,,28718
v,0,,26913
ups,0,,25645
one,0,,23471
us,0,,22663
s,0,,20657
these,1,,19775
off,0,,19620
from,0,,18905
that,1,,16459
detail,0,,15692
are,1,,14976
along,1,,12855
side,0,,12331
m,0,,12228
its,1,,11864
all,0,,11463
look,0,,11441
inner,0,,11287
down,0,,11117
only,1,,10894
n,0,,9405
has,1,,9246
at,1,,9182
above,0,,9169
u,0,,9110
non,0,,8867
it,1,,8592
over,0,,8068
effect,0,,6723
be,1,,6702
made,1,,6063
keep,1,,5975
makes,1,,5763
sure,1,,5673
or,1,,5459
out,1,,5289
make,0,,4691
kg,0,,4572
half,0,,4541
using,1,,4461
home,0,,4430
any,1,,4234
which,1,,4214
x,0,,4063
have,1,,3929
forever,0,,3883
been,1,,3877
g,0,,3875
gives,1,,3717
go,1,,3628
self,0,,3451
as,1,,3381
three,0,,3227
others,1,,3190
yet,1,,3065
into,1,,3007
new,1,,2930
under,0,,2883
known,1,,2816
ones,0,,2796
miss,0,,2768
comes,1,,2653
right,0,,2525
while,1,,2484
co,0,,2375
around,0,,2336
without,0,,2118
like,1,,2101
must,1,,2080
other,1,,2078
little,1,,2022
hi,1,,2001
first,0,,1977
w,0,,1974
their,1,,1945
will,1,,1940
use,0,,1906
you,1,,1902
two,0,,1899
your,1,,1872
done,1,,1833
take,1,,1820
more,0,,1805
o,0,,1774
give,0,,1724
get,1,,1690
looks,0,,1672
can,1,,1625
e,0,,1589
best,0,,1584
ed,0,,1555
away,1,,1503
d,0,,1494
every,1,,1492
our,1,,1474
world,1,,1458
way,0,,1385
used,1,,1384
plus,0,,1348
just,1,,1320
own,1,,1314
old,0,,1298
part,0,,1298
both,0,,1255
then,1,,1246
provides,1,,1204
through,1,,1201
may,1,,1194
yes,1,,1179
often,1,,1157
last,0,,1152
below,0,,1150
they,1,,1136
f,0,,1121
between,0,,1110
next,1,,1104
na,0,,1091
before,0,,1062
not,0,,1058
being,1,,1044
show,1,,1016
also,1,,1006
when,1,,999
bottom,0,,995
well,1,,991
against,1,,979
those,1,,953
keeps,1,,952
since,1,,943
c,0,,939
different,0,,935
l,0,,929
so,1,,888
never,0,,888
could,1,,876
zero,0,,848
together,0,,835
during,1,,812
one's,0,,806
i,1,,794
come,1,,790
about,0,,786
p,0,,767
due,1,,764
onto,1,,755
obtained,1,,719
some,1,,701
until,1,,686
across,0,,686
each,1,,684
do,1,,673
forward,0,,672
because,1,,661
wish,1,,660
various,1,,658
them,1,,639
that's,1,,638
become,1,,627
after,0,,626
gets,1,,609
either,1,,606
y,0,,604
h,0,,598
looking,1,,593
throughout,1,,579
run,0,,573
state,0,,561
means,1,,560
here,1,,559
overall,1,,556
there,1,,544
j,0,,543
heres,0,,531
tip,0,,526
we,1,,518
oh,1,,504
added,0,,494
whole,0,,491
see,0,,487
ex,0,,485
who,0,,478
know,1,,476
k,0,,476
where,1,,470
id,0,,470
r,0,,464
slightly,1,,459
date,0,,453
thats,1,,452
towards,1,,442
if,1,,439
put,0,,433
associated,1,,430
taken,0,,428
amount,0,,422
help,1,,420
end,1,,417
better,0,,417
going,1,,415
b,0,,400
giving,1,,397
goes,1,,396
how,1,,395
most,0,,381
very,1,,380
inside,0,,380
mr,0,,379
my,1,,378
uses,1,,368
much,0,,354
things,1,,351
but,1,,347
de,0,,333
even,1,,318
knows,1,,317
what,1,,310
thus,1,,307
apart,0,,306
does,1,,305
taking,1,,304
ever,1,,303
example,1,,294
than,0,,290
here's,1,,284
nine,0,,284
definitely,1,,282
results,1,,272
contains,0,,267
was,1,,263
needs,1,,263
am,1,,245
further,1,,244
arise,0,,244
owing,1,,241
z,0,,241
find,1,,240
nothing,0,,239
itself,1,,238
re,0,,238
name,1,,235
always,1,,233
mine,1,,233
among,1,,231
second,0,,223
becomes,1,,217
wherever,1,,213
rd,0,,211
thin,0,,211
twelve,0,,207
same,1,,204
placed,0,,204
were,1,,195
allows,0,,194
present,1,,192
ll,0,,189
enough,1,,186
quite,1,,177
her,0,,174
it's,1,,173
brief,0,,171
fifty,0,,169
several,1,,168
would,1,,164
less,0,,164
fire,0,,163
wonder,0,,162
serious,1,,159
everything,1,,159
within,1,,159
let,1,,148
shows,1,,147
me,1,,143
system,0,,143
five,0,,140
four,0,,138
try,1,,135
many,0,,135
per,1,,134
hence,1,,134
too,1,,133
such,1,,130
need,1,,129
move,1,,129
accordance,1,,127
lower,0,,123
anywhere,1,,115
whilst,1,,115
thanks,1,,115
fill,0,,115
value,0,,115
given,1,,114
truly,0,,113
amongst,1,,111
want,1,,111
hello,1,,109
lets,1,,109
certain,1,,108
getting,1,,108
etc,1,,106
whether,1,,104
six,0,,104
ahead,1,,99
entirely,1,,98
few,0,,96
beginning,1,,95
available,1,,93
say,1,,93
indeed,1,,92
thick,0,,91
having,1,,90
once,1,,90
might,1,,86
his,0,,86
followed,1,,86
call,1,,85
another,1,,84
certainly,1,,84
please,1,,84
stop,0,,84
seven,0,,83
ltd,1,,80
everyone,1,,79
ten,0,,79
primarily,1,,78
past,1,,77
welcome,1,,76
ml,0,,76
otherwise,1,,75
vs,1,,73
begins,1,,72
got,0,,69
found,1,,68
now,1,,67
page,0,,62
com,1,,61
again,1,,61
said,1,,61
still,1,,61
forth,0,,61
resulting,1,,60
possible,1,,60
able,1,,57
eg,1,,56
seen,1,,54
already,1,,53
directly,0,,53
almost,1,,51
far,1,,51
instead,1,,50
inc,0,,50
respectively,1,,49
really,1,,49
thing,1,,48
shown,1,,48
especially,1,,47
begin,0,,47
q,0,,47
everywhere,1,,45
act,0,,45
pp,0,,45
outside,0,,45
ve,0,,45
cause,1,,44
kept,1,,44
similar,1,,43
willing,1,,43
soon,1,,43
near,1,,41
specifically,1,,41
third,0,,41
bill,0,,41
ff,0,,41
seem,1,,40
cannot,1,,39
according,1,,39
yourself,1,,39
usually,1,,38
thereby,1,,38
something,1,,38
tends,1,,37
inc.,0,,37
follows,0,,37
beyond,0,,36
interest,1,,35
necessary,1,,35
section,0,,35
dare,1,,34
themselves,1,,34
allow,0,,33
should,1,,32
anything,1,,31
quickly,1,,31
underneath,0,,31
him,0,,29
ts,0,,29
obtain,1,,28
words,0,,28
particular,1,,27
pages,0,,27
useful,1,,26
exactly,1,,26
course,0,,26
thousand,0,,26
amidst,1,,24
reasonably,1,,24
sensible,1,,24
becoming,1,,23
he,0,,23
none,0,,23
cant,1,,22
normally,1,,22
appear,0,,22
yours,1,,21
why,1,,21
upon,1,,21
believe,1,,20
appropriate,1,,20
relatively,1,,20
proud,1,,20
think,1,,20
seems,1,,20
novel,0,,20
seriously,1,,19
behind,0,,19
ref,0,,19
whatever,1,,18
shall,1,,18
computer,0,,18
mug,0,,18
significant,1,,17
approximately,1,,17
km,0,,17
keys,0,,17
eight,0,,16
un,0,,16
ending,1,,15
provided,1,,15
clearly,0,,15
changes,0,,15
anyone,1,,14
wants,1,,14
nos,0,,14
though,1,,13
wherein,1,,13
says,1,,13
least,0,,13
took,1,,12
important,1,,12
million,0,,12
else,1,,11
widely,0,,11
ca,0,,11
fix,0,,11
mean,0,,11
theres,0,,11
whoever,1,,10
particularly,1,,10
unlike,0,,10
alone,1,,9
backward,1,,9
likely,1,,9
successfully,1,,9
thoroughly,1,,9
aren,0,,9
sub,0,,9
till,0,,9
sec,0,,9
tell,1,,8
whereas,1,,8
sometimes,1,,8
immediate,1,,8
later,0,,8
states,0,,8
doing,1,,7
alongside,1,,7
amid,1,,7
ought,1,,7
immediately,1,,7
ignored,1,,7
theyre,0,,7
although,1,,6
anybody,1,,6
tried,1,,6
she,1,,6
describe,1,,6
mill,0,,6
whats,0,,6
via,0,,6
co.,1,,5
appreciate,1,,5
had,1,,5
himself,0,,5
saying,1,,5
announce,1,,5
happens,1,,5
saw,0,,5
information,0,,5
ah,0,,5
came,1,,4
backwards,1,,4
became,1,,4
couldnt,1,,4
thank,1,,4
herself,0,,4
nearly,1,,4
following,1,,4
viz,1,,4
perhaps,1,,4
youre,1,,4
someone,1,,4
ord,0,,4
mg,0,,4
greetings,0,,4
ago,1,,3
versus,1,,3
trying,1,,3
ok,1,,3
gone,1,,3
strongly,1,,3
toward,1,,3
therefore,1,,3
related,1,,3
predominantly,1,,3
significantly,1,,3
corresponding,0,,3
besides,0,,3
research,0,,3
auth,0,,3
til,0,,3
index,0,,3
vol,0,,3
mrs,0,,3
nay,0,,3
consider,1,,2
despite,1,,2
did,1,,2
described,1,,2
ask,1,,2
meanwhile,1,,2
importance,1,,2
apparently,1,,2
whose,1,,2
previously,1,,2
whenever,1,,2
somebody,1,,2
unless,1,,2
rather,1,,2
however,1,,2
substantially,1,,2
regardless,1,,2
liked,1,,2
containing,0,,2
hundred,0,,2
twenty,0,,2
sup,0,,2
noted,0,,2
cry,0,,2
con,0,,2
currently,1,,1
poorly,1,,1
mainly,1,,1
obviously,1,,1
readily,1,,1
beginnings,1,,1
ourselves,1,,1
recently,1,,1
indicates,1,,1
gotten,1,,1
went,1,,1
whichever,1,,1
okay,1,,1
someday,1,,1
possibly,1,,1
shes,0,,1
everybody,1,,1
caption,0,,1
contain,0,,1
edu,0,,1
minus,0,,1
twice,0,,1
et,0,,1
fifteen,0,,1
latter,0,,1
empty,0,,1
upwards,0,,1
im,0,,1
former,0,,1
nd,0,,1
sorry,0,,1
ran,0,,1
fifth,0,,1
opposite,0,,1
inward,0,,1
brand,0,0,0
color,0,0,0
colour,0,0,0
dikhaiye,1,0,0